SessionID,Name,Description,Severity,Line,Column,ParentFile,TopLevelCategory,Code
737d7824-0c23-4a68-8cba-6054adeb858b,UnrecognizedToken,** MSC-ERROR - MSCEWI1001 - UNRECOGNIZED TOKEN ON LINE 4 OF THE SOURCE CODE. **,Critical,4,0,CLI_TSQL/Source_Code.sql,No category specified,MSCEWI1001
737d7824-0c23-4a68-8cba-6054adeb858b,UnrecognizedToken,** MSC-ERROR - MSCEWI1001 - UNRECOGNIZED TOKEN ON LINE 5 OF THE SOURCE CODE. **,Critical,5,0,CLI_TSQL/Source_Code.sql,No category specified,MSCEWI1001
737d7824-0c23-4a68-8cba-6054adeb858b,UnrecognizedToken,** MSC-ERROR - MSCEWI1001 - UNRECOGNIZED TOKEN ON LINE 6 OF THE SOURCE CODE. **,Critical,6,0,CLI_TSQL/Source_Code.sql,No category specified,MSCEWI1001
737d7824-0c23-4a68-8cba-6054adeb858b,UnrecognizedToken,** MSC-ERROR - MSCEWI1001 - UNRECOGNIZED TOKEN ON LINE 7 OF THE SOURCE CODE. **,Critical,7,0,CLI_TSQL/Source_Code.sql,No category specified,MSCEWI1001
737d7824-0c23-4a68-8cba-6054adeb858b,UnrecognizedToken,** MSC-ERROR - MSCEWI1001 - UNRECOGNIZED TOKEN ON LINE 8 OF THE SOURCE CODE. **,Critical,8,0,CLI_TSQL/Source_Code.sql,No category specified,MSCEWI1001
737d7824-0c23-4a68-8cba-6054adeb858b,UnrecognizedToken,** MSC-ERROR - MSCEWI1001 - UNRECOGNIZED TOKEN ON LINE 22 OF THE SOURCE CODE. **,Critical,22,0,CLI_TSQL/Source_Code.sql,No category specified,MSCEWI1001
737d7824-0c23-4a68-8cba-6054adeb858b,UnrecognizedToken,** MSC-ERROR - MSCEWI1001 - UNRECOGNIZED TOKEN ON LINE 28 OF THE SOURCE CODE. **,Critical,28,0,CLI_TSQL/Source_Code.sql,No category specified,MSCEWI1001
737d7824-0c23-4a68-8cba-6054adeb858b,UnrecognizedToken,** MSC-ERROR - MSCEWI1001 - UNRECOGNIZED TOKEN ON LINE 37 OF THE SOURCE CODE. **,Critical,37,0,CLI_TSQL/Source_Code.sql,No category specified,MSCEWI1001
737d7824-0c23-4a68-8cba-6054adeb858b,UnrecognizedToken,** MSC-ERROR - MSCEWI1001 - UNRECOGNIZED TOKEN ON LINE 43 OF THE SOURCE CODE. **,Critical,43,0,CLI_TSQL/Source_Code.sql,No category specified,MSCEWI1001
737d7824-0c23-4a68-8cba-6054adeb858b,UnrecognizedToken,** MSC-ERROR - MSCEWI1001 - UNRECOGNIZED TOKEN ON LINE 54 OF THE SOURCE CODE. **,Critical,54,0,CLI_TSQL/Source_Code.sql,No category specified,MSCEWI1001
737d7824-0c23-4a68-8cba-6054adeb858b,UnrecognizedToken,** MSC-ERROR - MSCEWI1001 - UNRECOGNIZED TOKEN ON LINE 4 OF THE SOURCE CODE. **,Critical,4,0,CLI_Ora/Source_Code.sql,No category specified,MSCEWI1001
737d7824-0c23-4a68-8cba-6054adeb858b,UnrecognizedToken,** MSC-ERROR - MSCEWI1001 - UNRECOGNIZED TOKEN ON LINE 28 OF THE SOURCE CODE. **,Critical,28,0,CLI_Ora/Source_Code.sql,No category specified,MSCEWI1001
737d7824-0c23-4a68-8cba-6054adeb858b,UnrecognizedToken,** MSC-ERROR - MSCEWI1001 - UNRECOGNIZED TOKEN ON LINE 38 OF THE SOURCE CODE. **,Critical,38,0,CLI_Ora/Source_Code.sql,No category specified,MSCEWI1001
737d7824-0c23-4a68-8cba-6054adeb858b,UnrecognizedToken,** MSC-ERROR - MSCEWI1001 - UNRECOGNIZED TOKEN ON LINE 39 OF THE SOURCE CODE. **,Critical,39,0,CLI_Ora/Source_Code.sql,No category specified,MSCEWI1001
737d7824-0c23-4a68-8cba-6054adeb858b,UnrecognizedToken,** MSC-ERROR - MSCEWI1001 - UNRECOGNIZED TOKEN ON LINE 45 OF THE SOURCE CODE. **,Critical,45,0,CLI_Ora/Source_Code.sql,No category specified,MSCEWI1001
737d7824-0c23-4a68-8cba-6054adeb858b,UnrecognizedToken,** MSC-ERROR - MSCEWI1001 - UNRECOGNIZED TOKEN ON LINE 60 OF THE SOURCE CODE. **,Critical,60,0,CLI_Ora/Source_Code.sql,No category specified,MSCEWI1001
737d7824-0c23-4a68-8cba-6054adeb858b,UnrecognizedToken,** MSC-ERROR - MSCEWI1001 - UNRECOGNIZED TOKEN ON LINE 61 OF THE SOURCE CODE. **,Critical,61,0,CLI_Ora/Source_Code.sql,No category specified,MSCEWI1001
737d7824-0c23-4a68-8cba-6054adeb858b,ErrorSemanticInformationNotLoaded,** MSC-WARNING - MSCEWI1039 - SEMANTIC INFORMATION COULD NOT BE LOADED FOR . CHECK IF THE NAME IS INVALID OR DUPLICATED. **,Low,2,0,CLI_Ora/Source_Code.sql,No category specified,MSCEWI1039
737d7824-0c23-4a68-8cba-6054adeb858b,ErrorSemanticInformationNotLoaded,** MSC-WARNING - MSCEWI1039 - SEMANTIC INFORMATION COULD NOT BE LOADED FOR PUBLIC.View_DemoUsers. CHECK IF THE NAME IS INVALID OR DUPLICATED. **,Low,22,0,CLI_Ora/Source_Code.sql,No category specified,MSCEWI1039
