ExtensibilityAPI_Version,1.0.6.0
ExternalRulesCount,0
ExternalRulesExecuted,0
PartitionKey,fa464115-c755-46c5-88a7-79170a362e8a
LicenseData,0db6b1ed-0e42-4b52-8bc9-9a466ddb8999
ProductName,Mobilize Snow Conversion Tool 13.0.83+master[a0951b0]-1349.748454
CoreVersion,13.0.83
AppVersion,Not Provided
OSVersion,Unix 5.4.0.1100
SystemRAM,Data not provided
SystemCPU,Data not provided
RunAsAdmin,Data not provided
SnowScript,False
WorkloadName,
StartConversion,2023/01/26 21:55:13 +00:00
CreateSession,2023/01/26 21:55:13 +00:00
ConversionSpeed,18
ElapsedTime,00:00:03
EndConversion,2023/01/26 21:55:16 +00:00
ParsingTime,0.9607958
FillSymbolStep1Time,0.1046955
FillSymbolStep2Time,0.1433878
ResolveDependencyTime,0.0106669
PreprocessingTime,0.0590675
PreConversionAssessmentTime,0.0648321
TransformationTime,0.6188649
CloseSession,2023/01/26 21:55:16 +00:00
SqlLinesCount,58
SqlFileCount,1
SqlSizeMB,0MB
SqlFilesNotGenerated,0
SqlLoCConversionRate,96.55
SqlCharacterConversionRate,99.27
SqlUnrecognizedElementsLOC,0
SqlTotalOccurrences,1
SqlFullyConvertedOccurrences,0
SqlFilesConversionRate,100
SqlTotalParsingErrors,0
SqlTotalConversionErrors,0
SqlTotalWarnings,6
SqlTotalCharacters,1652
TotalFiles,1
TotalFilesNotGenerated,0
TotalLinesOfCode,58
TotalSize,1.93KB
TotalErrors,2
TotalWarnings,4
TotalParsingErrors,0
TotalConversionErrors,0
TotalCharacterConversionRate,99.27
TotalLoCConversionRate,96.55
TotalIdentifiedObjects,4
UnrecognizedElements,0
UnrecognizedElementsLOC,0
SqlIdentifiedObjects,4
ObjectsSuccessfullyConverted,2
ObjectConversionRate,50
TableObjectConversionRate,100
TableCharacterConversionRate,100
TableLoCConversionRate,100
TableFullyConvertedOccurrences,1
TableTotalOccurrences,1
TableTotalParsingErrors,0
TableTotalConversionErrors,0
TableTotalWarnings,1
TableTotalCharacters,179
TableTotalLinesOfCode,10
ViewObjectConversionRate,100
ViewCharacterConversionRate,100
ViewLoCConversionRate,100
ViewFullyConvertedOccurrences,1
ViewTotalOccurrences,1
ViewTotalParsingErrors,0
ViewTotalConversionErrors,0
ViewTotalWarnings,0
ViewTotalCharacters,131
ViewTotalLinesOfCode,5
ProcedureObjectConversionRate,0
ProcedureCharacterConversionRate,97.9
ProcedureLoCConversionRate,93.1
ProcedureFullyConvertedOccurrences,0
ProcedureTotalOccurrences,2
ProcedureTotalParsingErrors,0
ProcedureTotalConversionErrors,0
ProcedureTotalWarnings,5
ProcedureTotalCharacters,571
ProcedureTotalLinesOfCode,29
FunctionObjectConversionRate,0
FunctionCharacterConversionRate,0
FunctionLoCConversionRate,0
FunctionFullyConvertedOccurrences,0
FunctionTotalOccurrences,0
FunctionTotalParsingErrors,0
FunctionTotalConversionErrors,0
FunctionTotalWarnings,0
FunctionTotalCharacters,0
FunctionTotalLinesOfCode,0
SqlTableObjectConversionRate,100
SqlTableLoCConversionRate,100
SqlTableTotalOccurrences,1
SqlTableFullyConvertedOccurrences,1
SqlTableTotalLinesOfCode,10
SqlTableTotalCharacters,179
SqlTableTotalParsingErrors,0
SqlTableTotalWarnings,1
SqlTableTotalConversionErrors,0
SqlTableCharacterConversionRate,100
SqlViewObjectConversionRate,100
SqlViewLoCConversionRate,100
SqlViewTotalOccurrences,1
SqlViewFullyConvertedOccurrences,1
SqlViewTotalLinesOfCode,5
SqlViewTotalCharacters,131
SqlViewTotalParsingErrors,0
SqlViewTotalConversionErrors,0
SqlViewTotalWarnings,0
SqlViewCharacterConversionRate,100
SqlProcedureObjectConversionRate,0
SqlProcedureLoCConversionRate,93.1
SqlProcedureTotalOccurrences,2
SqlProcedureFullyConvertedOccurrences,0
SqlProcedureTotalLinesOfCode,29
SqlProcedureTotalCharacters,571
SqlProcedureTotalParsingErrors,0
SqlProcedureTotalConversionErrors,0
SqlProcedureTotalWarnings,5
SqlProcedureCharacterConversionRate,97.9
SqlFunctionObjectConversionRate,0
SqlFunctionLoCConversionRate,0
SqlFunctionTotalOccurrences,0
SqlFunctionFullyConvertedOccurrences,0
SqlFunctionTotalLinesOfCode,0
SqlFunctionTotalCharacters,0
SqlFunctionTotalParsingErrors,0
SqlFunctionTotalConversionErrors,0
SqlFunctionTotalWarnings,0
SqlFunctionCharacterConversionRate,0
SqlSynonymObjectConversionRate,0
SqlSynonymCharacterConversionRate,0
SqlSynonymLoCConversionRate,0
SqlSynonymFullyConvertedOccurrences,0
SqlSynonymTotalOccurrences,0
SqlSynonymTotalParsingErrors,0
SqlSynonymTotalConversionErrors,0
SqlSynonymTotalWarnings,0
SqlSynonymTotalCharacters,0
SqlSynonymTotalLinesOfCode,0
SqlSequenceObjectConversionRate,0
SqlSequenceCharacterConversionRate,0
SqlSequenceLoCConversionRate,0
SqlSequenceFullyConvertedOccurrences,0
SqlSequenceTotalOccurrences,0
SqlSequenceTotalParsingErrors,0
SqlSequenceTotalConversionErrors,0
SqlSequenceTotalWarnings,0
SqlSequenceTotalCharacters,0
SqlSequenceTotalLinesOfCode,0
SqlPackageObjectConversionRate,0
SqlPackageCharacterConversionRate,0
SqlPackageLoCConversionRate,0
SqlPackageFullyConvertedOccurrences,0
SqlPackageTotalOccurrences,0
SqlPackageTotalParsingErrors,0
SqlPackageTotalConversionErrors,0
SqlPackageTotalWarnings,0
SqlPackageTotalCharacters,0
SqlPackageTotalLinesOfCode,0
SqlPBodyObjectConversionRate,0
SqlPBodyCharacterConversionRate,0
SqlPBodyLoCConversionRate,0
SqlPBodyFullyConvertedOccurrences,0
SqlPBodyTotalOccurrences,0
SqlPBodyTotalParsingErrors,0
SqlPBodyTotalConversionErrors,0
SqlPBodyTotalWarnings,0
SqlPBodyTotalCharacters,0
SqlPBodyTotalLinesOfCode,0
SqlDbLinkObjectConversionRate,0
SqlDbLinkCharacterConversionRate,0
SqlDbLinkLoCConversionRate,0
SqlDbLinkFullyConvertedOccurrences,0
SqlDbLinkTotalOccurrences,0
SqlDbLinkTotalParsingErrors,0
SqlDbLinkTotalConversionErrors,0
SqlDbLinkTotalWarnings,0
SqlDbLinkTotalCharacters,0
SqlDbLinkTotalLinesOfCode,0
SqlIndexObjectConversionRate,0
SqlIndexCharacterConversionRate,0
SqlIndexLoCConversionRate,0
SqlIndexFullyConvertedOccurrences,0
SqlIndexTotalOccurrences,0
SqlIndexTotalParsingErrors,0
SqlIndexTotalConversionErrors,0
SqlIndexTotalWarnings,0
SqlIndexTotalCharacters,0
SqlIndexTotalLinesOfCode,0
SqlTypeObjectConversionRate,0
SqlTypeCharacterConversionRate,0
SqlTypeLoCConversionRate,0
SqlTypeFullyConvertedOccurrences,0
SqlTypeTotalOccurrences,0
SqlTypeTotalParsingErrors,0
SqlTypeTotalConversionErrors,0
SqlTypeTotalWarnings,0
SqlTypeTotalCharacters,0
SqlTypeTotalLinesOfCode,0
SynonymObjectConversionRate,0
SynonymCharacterConversionRate,0
SynonymLoCConversionRate,0
SynonymFullyConvertedOccurrences,0
SynonymTotalOccurrences,0
SynonymTotalParsingErrors,0
SynonymTotalConversionErrors,0
SynonymTotalWarnings,0
SynonymTotalCharacters,0
SynonymTotalLinesOfCode,0
SequenceObjectConversionRate,0
SequenceCharacterConversionRate,0
SequenceLoCConversionRate,0
SequenceFullyConvertedOccurrences,0
SequenceTotalOccurrences,0
SequenceTotalParsingErrors,0
SequenceTotalConversionErrors,0
