SessionID,Category,Grammar_Element,HighLevelObject,FileType,Total_Object_Count,Count_Converted_LOC,Count_Not_Converted_LOC,Count_Conversion_Errors,Count_Parsing_Errors
5c38896f-ceb9-4591-9f29-ae49d54f74af,Comparison Operators and Functions,=,CREATE / REPLACE PROCEDURE,SQL,5,5,0,0,0
5c38896f-ceb9-4591-9f29-ae49d54f74af,Data Definition Statements,CHECKSUM,CREATE TABLE,SQL,1,1,0,0,0
5c38896f-ceb9-4591-9f29-ae49d54f74af,Procedure statements,CREATE / REPLACE PROCEDURE,CREATE / REPLACE PROCEDURE,SQL,2,22,0,0,0
5c38896f-ceb9-4591-9f29-ae49d54f74af,Data Definition Statements,CREATE / REPLACE VIEW,CREATE / REPLACE VIEW,SQL,1,4,0,0,0
5c38896f-ceb9-4591-9f29-ae49d54f74af,Table Statements,CREATE TABLE,CREATE TABLE,SQL,1,9,0,0,0
5c38896f-ceb9-4591-9f29-ae49d54f74af,Data Type,DATE,CREATE / REPLACE PROCEDURE,SQL,2,0,2,0,0
5c38896f-ceb9-4591-9f29-ae49d54f74af,Data Type,DATE,CREATE TABLE,SQL,1,0,1,0,0
5c38896f-ceb9-4591-9f29-ae49d54f74af,"SELECT statement syntax, options, clauses, modifiers",FROM,CREATE / REPLACE VIEW,SQL,1,1,0,0,0
5c38896f-ceb9-4591-9f29-ae49d54f74af,Data Manipulation Language Statement,INSERT,INSERT,SQL,4,4,0,0,0
5c38896f-ceb9-4591-9f29-ae49d54f74af,Uncategorized,INTEGER,CREATE TABLE,SQL,2,2,0,0,0
5c38896f-ceb9-4591-9f29-ae49d54f74af,Uncategorized,INTEGER,CREATE / REPLACE PROCEDURE,SQL,3,3,0,0,0
5c38896f-ceb9-4591-9f29-ae49d54f74af,Data Definition Statements,MERGEBLOCKRATIO,CREATE TABLE,SQL,1,1,0,0,0
5c38896f-ceb9-4591-9f29-ae49d54f74af,Data Definition Statements,NO AFTER JOURNAL,CREATE TABLE,SQL,1,1,0,0,0
5c38896f-ceb9-4591-9f29-ae49d54f74af,Data Definition Statements,NO BEFORE JOURNAL,CREATE TABLE,SQL,1,1,0,0,0
5c38896f-ceb9-4591-9f29-ae49d54f74af,Data Definition Statements,NO FALLBACK,CREATE TABLE,SQL,1,1,0,0,0
5c38896f-ceb9-4591-9f29-ae49d54f74af,Data Definition Statements,NOT NULL,CREATE TABLE,SQL,4,4,0,0,0
5c38896f-ceb9-4591-9f29-ae49d54f74af,Data Definition Statements,PRIMARY INDEX,CREATE TABLE,SQL,1,0,1,0,0
