SessionID,Name,Description,Severity,Line,Column,ParentFile,Code
df3576e8-dadc-4efd-b4dc-74ec46d12793,Error parsing the source code,UNRECOGNIZED TOKEN ON LINE 61 OF THE SOURCE CODE.,Critical,61,1,CLI_Ora/Source_Code.sql,MSCEWI1001
df3576e8-dadc-4efd-b4dc-74ec46d12793,Error parsing the source code,UNRECOGNIZED TOKEN ON LINE 60 OF THE SOURCE CODE.,Critical,60,1,CLI_Ora/Source_Code.sql,MSCEWI1001
df3576e8-dadc-4efd-b4dc-74ec46d12793,Error parsing the source code,UNRECOGNIZED TOKEN ON LINE 45 OF THE SOURCE CODE.,Critical,45,1,CLI_Ora/Source_Code.sql,MSCEWI1001
df3576e8-dadc-4efd-b4dc-74ec46d12793,Error parsing the source code,UNRECOGNIZED TOKEN ON LINE 39 OF THE SOURCE CODE.,Critical,39,1,CLI_Ora/Source_Code.sql,MSCEWI1001
df3576e8-dadc-4efd-b4dc-74ec46d12793,Error parsing the source code,UNRECOGNIZED TOKEN ON LINE 38 OF THE SOURCE CODE.,Critical,38,1,CLI_Ora/Source_Code.sql,MSCEWI1001
df3576e8-dadc-4efd-b4dc-74ec46d12793,Error parsing the source code,UNRECOGNIZED TOKEN ON LINE 28 OF THE SOURCE CODE.,Critical,28,1,CLI_Ora/Source_Code.sql,MSCEWI1001
df3576e8-dadc-4efd-b4dc-74ec46d12793,Semantic information could not be loaded,SEMANTIC INFORMATION COULD NOT BE LOADED FOR . CHECK IF THE NAME IS INVALID OR DUPLICATED.,Low,2,0,CLI_Ora/Source_Code.sql,MSCEWI1039
df3576e8-dadc-4efd-b4dc-74ec46d12793,Error parsing the source code,UNRECOGNIZED TOKEN ON LINE 4 OF THE SOURCE CODE.,Critical,4,3,CLI_Ora/Source_Code.sql,MSCEWI1001
df3576e8-dadc-4efd-b4dc-74ec46d12793,Semantic information could not be loaded,SEMANTIC INFORMATION COULD NOT BE LOADED FOR View_DemoUsers. CHECK IF THE NAME IS INVALID OR DUPLICATED.,Low,22,0,CLI_T12/Source_Code.sql,MSCEWI1039
df3576e8-dadc-4efd-b4dc-74ec46d12793,Error parsing the source code,UNRECOGNIZED TOKEN ON LINE 54 OF THE SOURCE CODE.,Critical,54,1,CLI_TSQL/Source_Code.sql,MSCEWI1001
df3576e8-dadc-4efd-b4dc-74ec46d12793,Error parsing the source code,UNRECOGNIZED TOKEN ON LINE 43 OF THE SOURCE CODE.,Critical,43,1,CLI_TSQL/Source_Code.sql,MSCEWI1001
df3576e8-dadc-4efd-b4dc-74ec46d12793,Error parsing the source code,UNRECOGNIZED TOKEN ON LINE 37 OF THE SOURCE CODE.,Critical,37,1,CLI_TSQL/Source_Code.sql,MSCEWI1001
df3576e8-dadc-4efd-b4dc-74ec46d12793,Error parsing the source code,UNRECOGNIZED TOKEN ON LINE 28 OF THE SOURCE CODE.,Critical,28,1,CLI_TSQL/Source_Code.sql,MSCEWI1001
df3576e8-dadc-4efd-b4dc-74ec46d12793,Error parsing the source code,UNRECOGNIZED TOKEN ON LINE 22 OF THE SOURCE CODE.,Critical,22,1,CLI_TSQL/Source_Code.sql,MSCEWI1001
df3576e8-dadc-4efd-b4dc-74ec46d12793,Error parsing the source code,UNRECOGNIZED TOKEN ON LINE 8 OF THE SOURCE CODE.,Critical,8,4,CLI_TSQL/Source_Code.sql,MSCEWI1001
df3576e8-dadc-4efd-b4dc-74ec46d12793,Error parsing the source code,UNRECOGNIZED TOKEN ON LINE 7 OF THE SOURCE CODE.,Critical,7,4,CLI_TSQL/Source_Code.sql,MSCEWI1001
df3576e8-dadc-4efd-b4dc-74ec46d12793,Error parsing the source code,UNRECOGNIZED TOKEN ON LINE 6 OF THE SOURCE CODE.,Critical,6,4,CLI_TSQL/Source_Code.sql,MSCEWI1001
df3576e8-dadc-4efd-b4dc-74ec46d12793,Error parsing the source code,UNRECOGNIZED TOKEN ON LINE 5 OF THE SOURCE CODE.,Critical,5,4,CLI_TSQL/Source_Code.sql,MSCEWI1001
df3576e8-dadc-4efd-b4dc-74ec46d12793,Error parsing the source code,UNRECOGNIZED TOKEN ON LINE 4 OF THE SOURCE CODE.,Critical,4,4,CLI_TSQL/Source_Code.sql,MSCEWI1001
